Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_goal_1,put the bowl on the stove,100.0,0.10291011378996902,1.965277777777778,25.25178781085544,0.8749528164664904,0.0002815587161926993,0.0010444422050231543,0.0014551426211255603,0.001396625277751203,0.01142174048582092,0.0031268086787248545,0.004304913315498861,53.65854272424184
libero_goal_2,put the wine bottle on top of the cabinet,100.0,0.10022752702443136,1.9219444444444445,24.505205619600083,0.8752814158962833,0.00022633725061192914,0.0009441936081195848,0.001119124753442722,0.0014871188203041028,0.013281636159711827,0.0035056329091839008,0.004545598320310958,72.30797304409137
libero_goal_3,open the top drawer and put the bowl inside,100.0,0.10300027568099586,1.9885620915032682,24.35644405218675,0.8780245271998662,0.00024899418046538287,0.0010053410160140983,0.001328058040237194,0.0014389708273397186,0.014296824609900663,0.003646539744455358,0.00495527344645375,39.06850423877489
libero_goal_4,put the bowl on top of the cabinet,80.0,0.11638204443801799,1.9555555555555557,23.57976006035112,0.8532826850060214,0.00030727971987056294,0.0011985028991994555,0.0015826257437733242,0.0017056032339544795,0.016797677927797773,0.003799053834750378,0.006332530498946917,68.21392703095795
libero_goal_5,push the plate to the front of the stove,100.0,0.09228088911891127,1.9560439560439558,26.473358735467635,0.9153572626639344,0.0001447356762959021,0.0006482534896164156,0.000824942415401515,0.0009750823771518298,0.009833230620071857,0.002513483505572678,0.00349873330333439,34.450610295629275
libero_goal_6,put the cream cheese in the bowl,100.0,0.09538769256323576,1.988888888888889,26.484905653529694,0.9092360278798474,0.00016626854134705758,0.0007331165847972443,0.0009651877993342673,0.0010678934137104078,0.007916942846754359,0.002325375103100669,0.0027338802786996694,53.73987433209864
libero_goal_7,turn on the stove,100.0,0.10796425200200506,1.9375,26.185746169090272,0.8911314144730568,0.00014593994791149662,0.0006175310157015615,0.0009479024272358012,0.0007587506719573866,0.0097893862656617,0.002116275098420114,0.0038710318100389227,53.20213407911982
libero_goal_8,put the bowl on the plate,100.0,0.10395263970962594,1.9625,24.578749469348363,0.8713690087199211,0.00031355827839953625,0.0011589413230380851,0.001533489319263026,0.0016297763714516935,0.01354152479408575,0.003442209699382407,0.005173803853436507,74.51923842918015
libero_goal_9,put the wine bottle on the rack,100.0,0.1125927938157851,1.9731652661064427,24.30921470428587,0.8746417393380135,0.00018066995086073312,0.0007620936355486267,0.000982429898374821,0.001123181057410326,0.015214096423908464,0.0034048193694434965,0.005321887254713047,41.941286081784654
libero_object_0,pick up the alphabet soup and place it in the basket,100.0,0.10743228554016067,1.9846153846153847,25.351385272029553,0.8584350719185541,0.00018857167204792933,0.0008570069115136234,0.0010263868252940358,0.0013560622371989045,0.011073183267165807,0.0029795313821726005,0.003623063850840008,73.07027076633508
libero_object_1,pick up the cream cheese and place it in the basket,100.0,0.12203238019032045,1.961996336996337,24.516256097656054,0.8443428599500622,0.0001758692162359853,0.0009076746931721673,0.0011365824741318238,0.0014105723891486926,0.014787782936893184,0.0035359917220485248,0.005051445305880273,65.847620594734
libero_object_2,pick up the salad dressing and place it in the basket,100.0,0.10509354641773935,1.975,25.90180595282352,0.8598402464931661,0.00017621099290078166,0.0008730531814349392,0.0011083774167645693,0.0013345711346394664,0.00856402363384735,0.0023260971645482414,0.0032182977544531846,98.5668438233587
libero_object_3,pick up the bbq sauce and place it in the basket,100.0,0.1015937440134557,1.9780920060331826,25.578313934281578,0.8635378383847339,0.00017537855701900968,0.0008168556342597695,0.0010974200960030497,0.0011777682497572496,0.010328142013115285,0.0025283094309294127,0.0038514101791786064,68.24539292205515
libero_object_4,pick up the ketchup and place it in the basket,100.0,0.10182090682888426,1.9785714285714284,25.833634139679287,0.8578272872246229,0.00017754388578935872,0.0008338004503617251,0.0009834284831803026,0.0013404289821155144,0.009504296042147902,0.0024049788588724496,0.003587035616094778,73.25960893910288
