Task,Description,Success Rate (%),Future lpips,Future num_future_frames,Future psnr,Future ssim,Future wavelet_hh_mse,Future wavelet_high_mse,Future wavelet_hl_mse,Future wavelet_lh_mse,Future wavelet_ll_mse,Future wavelet_temporal_high_mse,Future wavelet_temporal_low_mse,Future gfvd
libero_object_4,pick up the ketchup and place it in the basket,100.0,0.09753369566803669,1.9857142857142858,26.369575731885305,0.863847162843624,0.00017760317668471411,0.000795737648169497,0.0009342458785252283,0.0012753638892985485,0.008522949787121158,0.0021683842790694292,0.0032094735281726163,64.76093133224049
libero_object_5,pick up the tomato sauce and place it in the basket,100.0,0.13114371628644952,1.9854166666666668,24.125703734510086,0.8330327165909044,0.00028785834773172833,0.0009353085297911623,0.0012596473073275653,0.0012584199343141926,0.016636674006197914,0.0039039284028230654,0.005825515410123801,105.75682334236336
libero_object_6,pick up the butter and place it in the basket,100.0,0.11313365569863565,1.992857142857143,25.569651590284412,0.8540651716373778,0.00018032309833757113,0.0008284330949009884,0.0010157664213542768,0.001289209765011117,0.010955876247392755,0.00297429097064126,0.0037269568410548534,75.07366888915345
libero_object_7,pick up the milk and place it in the basket,100.0,0.1063448609975286,1.9679487179487183,25.915510379351105,0.8599150537298277,0.00017060505251253907,0.0008588476345511691,0.0009859557962791326,0.0014199820548618355,0.009083700215873809,0.002509462864462195,0.003189810239559307,68.89789721101805
libero_object_8,pick up the chocolate pudding and place it in the basket,100.0,0.1096654079495264,1.99375,25.718835449105217,0.8601562560669013,0.00018287328365182648,0.0008109849593991327,0.0010379827638999338,0.0012120988306456378,0.009655123048079466,0.002619777164682524,0.003405120363292684,58.53791286000502
libero_object_9,pick up the orange juice and place it in the basket,100.0,0.1079472271347796,1.9673076923076924,25.32019615662404,0.8569211431064737,0.00018590521241350916,0.0009129716115435466,0.0012574326217737338,0.0012955770004433966,0.011110297671781358,0.002902731112849186,0.0038105805315629395,80.52800807969709
libero_spatial_0,pick up the black bowl between the plate and the ramekin and place it on the plate,100.0,0.10936722687578629,1.9,24.557311606407165,0.869127499525036,0.00037763173586427003,0.0012886830713060111,0.001708859482667841,0.0017795579953859227,0.01233862857666931,0.0037771246645466557,0.0043373124041993704,97.2430973920923
libero_spatial_1,pick up the black bowl next to the ramekin and place it on the plate,100.0,0.09106453742380395,1.91969696969697,26.822987941106156,0.9034073864059013,0.00029470086312247796,0.0008325110678245003,0.001132280858970868,0.0010705514813801557,0.007028992690646907,0.0018120985707289286,0.002729083993048831,50.710920160486886
libero_spatial_2,pick up the black bowl from table center and place it on the plate,90.0,0.10072054904575149,1.9533333333333331,25.283283119201663,0.8790721344947816,0.0003528461833209601,0.001119544819470051,0.001561208613388266,0.0014445796617009263,0.011645850883602784,0.002939504036446109,0.0046316317358564224,72.94881231028766
libero_spatial_3,pick up the black bowl on the cookie box and place it on the plate,100.0,0.10349098172866636,1.9666666666666668,25.85876742204031,0.8868460841476917,0.00034527352246287694,0.0010293732544394312,0.0013409692091550418,0.0014018770317003751,0.010599146947626852,0.002451708208536729,0.004442551915417425,79.35751521390321
libero_spatial_4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,100.0,0.11019476266590864,1.9762820512820514,25.194445174223894,0.8671975788849219,0.0003787118519913071,0.0010440352156886935,0.0014578762097001434,0.0012955175853746298,0.012193006877925806,0.003441187340436076,0.004262945997948804,69.46823543229786
libero_spatial_5,pick up the black bowl on the ramekin and place it on the plate,100.0,0.09903401895529693,1.958888888888889,26.139943510691324,0.8901717940304014,0.0003856907502631657,0.0009852637506965376,0.0012959914615688225,0.0012741090402576248,0.00797558831025122,0.002303944888796347,0.0029754575045080854,83.0618497578997
libero_spatial_6,pick up the black bowl next to the cookie box and place it on the plate,100.0,0.10358244617554276,1.9427272727272726,26.033429116335775,0.8907365621219983,0.0003194051083251411,0.0009703908195969593,0.0013199928754792465,0.0012717744749864903,0.009459342294033956,0.002362461309724798,0.003790565279001991,71.42617071601059
libero_spatial_7,pick up the black bowl on the stove and place it on the plate,100.0,0.10266180348589078,1.9582167832167834,25.586885021227506,0.8700567628571759,0.0003237398545173319,0.0010352275566658609,0.0014655192431241833,0.001316423572356067,0.00971412044329219,0.0024767473828096903,0.004005010205702009,64.30733767453896
libero_spatial_8,pick up the black bowl next to the plate and place it on the plate,100.0,0.10526759478705701,1.97,25.12586774710453,0.8751278214864057,0.0003677716037885267,0.00114999270333845,0.0015918429692409878,0.0014903635369858358,0.011451165328728918,0.003292039848224382,0.004189617456621349,73.82790571298938
libero_spatial_9,pick up the black bowl on the wooden cabinet and place it on the plate,100.0,0.10251655929519995,1.95,25.970394527884356,0.8880624415782782,0.00029654322114954504,0.0008926883350954129,0.001217676605649362,0.0011638451784873316,0.009985482843366447,0.0026807027552142523,0.0037409082611049643,60.09064065244124
